date,open,high,low,close,volume
2021-09-01,0.2518,0.2666,0.2433,0.2641,100834216.0
2021-09-02,0.2641,0.2784,0.2495,0.2745,145396618.2
2021-09-03,0.2745,0.2861,0.265,0.2859,118853395.7
2021-09-04,0.2859,0.3198,0.2772,0.318,176005021.7
2021-09-05,0.318,0.318,0.296,0.3075,118009594.0
2021-09-06,0.3075,0.3194,0.2953,0.312,102705258.0
2021-09-07,0.312,0.34477,0.231,0.272,339110257.4
2021-09-08,0.2716,0.3266,0.2435,0.3188,243410350.0
2021-09-09,0.3187,0.3621,0.3041,0.331,353485394.6
2021-09-10,0.3308,0.3388,0.2928,0.3163,151986170.0
2021-09-11,0.3163,0.39,0.3134,0.363,320592718.8
2021-09-12,0.3632,0.4275,0.3469,0.4242,275601596.4
2021-09-13,0.425,0.4475,0.367,0.4317,485861970.9
2021-09-14,0.4318,0.4877,0.4013,0.4563,377588122.4
2021-09-15,0.4561,0.5695,0.4539,0.505,467415443.7
2021-09-16,0.5049,0.576,0.4602,0.4767,486075609.0
2021-09-17,0.4767,0.477,0.415,0.426,273369374.0
2021-09-18,0.4261,0.4534,0.4088,0.4294,197378012.0
2021-09-19,0.4298,0.4299,0.3882,0.3968,126772194.0
2021-09-20,0.3969,0.3971,0.3134,0.3395,349120796.0
2021-09-21,0.3395,0.3553,0.288,0.3055,347570961.0
2021-09-22,0.3056,0.3809,0.299,0.3666,278554928.0
2021-09-23,0.3664,0.3936,0.3577,0.3829,211097706.0
2021-09-24,0.3828,0.3848,0.31,0.3498,293864544.0
2021-09-25,0.3499,0.3578,0.3246,0.3417,132630865.0
2021-09-26,0.3417,0.346,0.306,0.3346,141394809.0
2021-09-27,0.3345,0.3765,0.3113,0.3193,116267929.0
2021-09-28,0.3192,0.3261,0.3017,0.3035,105676306.0
2021-09-29,0.3033,0.3268,0.3001,0.3108,113361389.0
2021-09-30,0.3108,0.3435,0.3087,0.338,118598022.0
2021-10-01,0.338,0.37,0.3274,0.365,127871203.0
2021-10-02,0.3652,0.4177,0.3569,0.3855,160431019.0
2021-10-03,0.3855,0.4196,0.3735,0.3988,149374262.0
2021-10-04,0.3989,0.428,0.3774,0.4048,202132968.0
2021-10-05,0.4047,0.4225,0.3858,0.4035,126497121.0
2021-10-06,0.4034,0.4084,0.3619,0.3815,134074685.0
2021-10-07,0.3813,0.3946,0.3651,0.378,135668223.0
2021-10-08,0.3781,0.3912,0.3692,0.3738,91472675.0
2021-10-09,0.3739,0.3781,0.3624,0.3709,72990707.0
2021-10-10,0.3709,0.3711,0.3361,0.339,72408216.0
2021-10-11,0.3392,0.3627,0.3342,0.3436,77754428.0
2021-10-12,0.3434,0.3589,0.32,0.3488,104368818.0
2021-10-13,0.3488,0.3609,0.339,0.3569,75952367.0
2021-10-14,0.3571,0.4,0.3522,0.389,131719949.0
2021-10-15,0.389,0.3893,0.3568,0.3641,102996332.0
2021-10-16,0.3641,0.3789,0.3634,0.3725,64376905.0
2021-10-17,0.3725,0.3755,0.3411,0.3551,75205174.0
2021-10-18,0.3551,0.3697,0.345,0.3559,90083357.0
2021-10-19,0.3559,0.3796,0.3505,0.3749,97914559.0
2021-10-20,0.3749,0.41,0.3686,0.4027,160522544.0
2021-10-21,0.4026,0.4084,0.3715,0.379,100999075.0
2021-10-22,0.3787,0.3912,0.3717,0.3786,59861565.0
2021-10-23,0.3785,0.3814,0.3676,0.3792,55507895.0
2021-10-24,0.3792,0.3793,0.3565,0.3669,59254333.0
2021-10-25,0.367,0.39,0.3643,0.387,83014045.0
2021-10-26,0.387,0.4146,0.3813,0.3914,129690875.0
2021-10-27,0.3913,0.3994,0.3235,0.3501,172367276.0
2021-10-28,0.3501,0.3832,0.3493,0.3704,96845503.0
2021-10-29,0.3704,0.398,0.3687,0.3905,77283331.0
2021-10-30,0.3906,0.4394,0.385,0.4187,230492994.0
2021-10-31,0.4187,0.466,0.39,0.4076,209400825.0
2021-11-01,0.4076,0.4335,0.391,0.3997,100590848.0
2021-11-02,0.3998,0.4013,0.39,0.397,78943124.0
