date,open,high,low,close,volume
2021-09-01,0.3393,0.3562,0.3356,0.3534,138344506.0
2021-09-02,0.3534,0.3676,0.3516,0.359,167410344.3
2021-09-03,0.3591,0.3779,0.3515,0.3688,151477134.8
2021-09-04,0.3688,0.3846,0.3647,0.3699,131993321.7
2021-09-05,0.3699,0.39806,0.368,0.3976,147935913.3
2021-09-06,0.3978,0.432,0.3893,0.4239,345465723.4
2021-09-07,0.4238,0.4244,0.271,0.3358,560497149.7
2021-09-08,0.336,0.343,0.3009,0.3298,267444676.0
2021-09-09,0.3298,0.3419,0.3235,0.3326,175246463.0
2021-09-10,0.3326,0.36,0.3107,0.3169,237684223.0
2021-09-11,0.3168,0.3326,0.3153,0.3252,120065889.0
2021-09-12,0.3251,0.3394,0.317,0.3326,114031752.0
2021-09-13,0.3325,0.3365,0.3095,0.3186,162038988.0
2021-09-14,0.3186,0.3316,0.316,0.3313,107854783.0
2021-09-15,0.3313,0.3419,0.3272,0.341,118997144.0
2021-09-16,0.341,0.3424,0.3233,0.3307,125206007.0
2021-09-17,0.3306,0.333,0.3146,0.3195,98570508.0
2021-09-18,0.3195,0.3278,0.3151,0.3219,76526276.0
2021-09-19,0.3219,0.3249,0.3101,0.3134,66407138.0
2021-09-20,0.3135,0.3147,0.2698,0.282,216743286.6
2021-09-21,0.2823,0.2875,0.2601,0.2659,153867873.1
2021-09-22,0.2661,0.2933,0.2605,0.2926,118873782.0
2021-09-23,0.2923,0.3032,0.2884,0.303,114090070.0
2021-09-24,0.303,0.3057,0.2689,0.2811,132212040.0
2021-09-25,0.281,0.2857,0.2702,0.2768,90476262.0
2021-09-26,0.277,0.2837,0.2606,0.276,95022230.0
2021-09-27,0.2759,0.2833,0.2647,0.265,72180613.0
2021-09-28,0.2648,0.2699,0.2548,0.2566,90810627.1
2021-09-29,0.2566,0.2794,0.2549,0.2696,109199451.0
2021-09-30,0.2698,0.2806,0.2685,0.2787,85594938.0
2021-10-01,0.2788,0.3006,0.2753,0.3003,168718920.0
2021-10-02,0.3004,0.3266,0.2924,0.3164,166226808.0
2021-10-03,0.3164,0.3227,0.3102,0.3148,149062371.0
2021-10-04,0.3149,0.3154,0.2957,0.3104,162913437.0
2021-10-05,0.3105,0.3205,0.3075,0.3188,143919162.0
2021-10-06,0.3191,0.365,0.3054,0.3578,339060272.0
2021-10-07,0.3582,0.3702,0.3417,0.3435,339409615.0
2021-10-08,0.3436,0.3497,0.3323,0.3363,171328592.0
2021-10-09,0.3364,0.3678,0.3326,0.3531,202070362.0
2021-10-10,0.3532,0.359,0.3286,0.3311,135578770.0
2021-10-11,0.3312,0.3574,0.3246,0.3445,211412869.0
2021-10-12,0.3444,0.3449,0.3195,0.3328,153288154.0
2021-10-13,0.3326,0.3765,0.3303,0.368,380722714.0
2021-10-14,0.368,0.3823,0.3636,0.3698,231305666.0
2021-10-15,0.3695,0.3738,0.3502,0.3616,208312972.0
2021-10-16,0.3615,0.4207,0.3614,0.3967,489852872.0
2021-10-17,0.3967,0.4032,0.3645,0.3834,271514664.0
2021-10-18,0.3833,0.3957,0.3763,0.3796,212496658.0
2021-10-19,0.3794,0.384,0.3655,0.3737,125100802.0
2021-10-20,0.3737,0.3923,0.3582,0.3918,211690285.0
2021-10-21,0.3918,0.398,0.3712,0.373,227634803.0
2021-10-22,0.3731,0.3807,0.3655,0.3721,131280252.0
2021-10-23,0.3722,0.3784,0.3679,0.378,88915753.0
2021-10-24,0.3778,0.3865,0.366,0.3723,127897291.0
2021-10-25,0.3722,0.3884,0.3707,0.388,108836016.0
2021-10-26,0.3881,0.3883,0.3681,0.3731,119969984.0
2021-10-27,0.3731,0.3754,0.3083,0.3303,248308709.0
2021-10-28,0.3305,0.3488,0.3253,0.3426,183448278.0
2021-10-29,0.3427,0.3638,0.3404,0.3623,131106906.0
2021-10-30,0.3623,0.3657,0.351,0.3584,127108383.0
2021-10-31,0.3584,0.3899,0.3568,0.3725,266689020.0
2021-11-01,0.3725,0.3757,0.3571,0.3659,123019688.0
2021-11-02,0.3659,0.3828,0.3628,0.3825,131413194.0
2021-11-03,0.3824,0.3987,0.3701,0.3852,205080685.0
2021-11-04,0.3853,0.39,0.365,0.3687,114164766.0
2021-11-05,0.3687,0.3737,0.3582,0.3587,95774083.0
2021-11-06,0.3589,0.3641,0.35,0.3591,82571044.0
2021-11-07,0.3591,0.3656,0.3562,0.3636,73592711.0
2021-11-08,0.3636,0.3789,0.3622,0.378,140233595.0
2021-11-09,0.378,0.4222,0.3733,0.4127,313410454.0
2021-11-10,0.4126,0.4412,0.3633,0.3831,467540077.6
2021-11-11,0.383,0.403,0.3756,0.3909,207047181.0
2021-11-12,0.3908,0.3941,0.3643,0.3789,168110646.0
2021-11-13,0.3791,0.3827,0.3704,0.3782,90832485.0
2021-11-14,0.3781,0.382,0.367,0.3773,88730616.0
2021-11-15,0.3773,0.394,0.3737,0.3768,142825788.0
2021-11-16,0.3769,0.377,0.33,0.3429,205564051.0
2021-11-17,0.343,0.3495,0.3323,0.3463,124928679.0
2021-11-18,0.3462,0.3562,0.3123,0.3278,175275489.0
2021-11-19,0.3276,0.3567,0.3252,0.3539,117357113.0
2021-11-20,0.3539,0.3585,0.3363,0.3483,105477202.0
2021-11-21,0.3484,0.3491,0.3376,0.3434,85021322.0
2021-11-22,0.3435,0.3567,0.3315,0.3362,162877806.0
2021-11-23,0.3361,0.3428,0.3276,0.3411,131754070.0
2021-11-24,0.3412,0.3418,0.3207,0.3273,114213677.0
2021-11-25,0.3272,0.3478,0.3257,0.3416,123389283.0
2021-11-26,0.3416,0.3504,0.3046,0.3291,266080231.0
2021-11-27,0.3292,0.335,0.3204,0.3257,107088576.0
2021-11-28,0.3258,0.3266,0.3,0.3236,115532496.0
2021-11-29,0.3236,0.334,0.3222,0.3284,102944385.0
2021-11-30,0.3283,0.3514,0.3279,0.3358,159226319.0
2021-12-01,0.3359,0.3452,0.3254,0.3275,109288961.0
2021-12-02,0.3273,0.3407,0.3169,0.3396,105206373.0
2021-12-03,0.3397,0.3649,0.3211,0.3258,357450877.0
2021-12-04,0.3256,0.3259,0.2236,0.2891,494876849.1
2021-12-05,0.289,0.294,0.2572,0.279,229606362.0
2021-12-06,0.2792,0.2968,0.247,0.294,309959717.0
2021-12-07,0.2941,0.2999,0.28,0.2861,155821179.0
2021-12-08,0.2861,0.3087,0.2825,0.3059,176269860.0
2021-12-09,0.3059,0.3062,0.2731,0.2733,153203022.0
2021-12-10,0.2732,0.2807,0.2592,0.2606,136905085.0
2021-12-11,0.2604,0.28,0.2559,0.2746,98832128.0
2021-12-12,0.2746,0.2817,0.2665,0.2756,72838946.0
2021-12-13,0.2757,0.2764,0.251,0.2528,96787435.0
2021-12-14,0.2528,0.2708,0.2474,0.2673,160303764.0
2021-12-15,0.2672,0.2759,0.2459,0.2726,139052140.0
2021-12-16,0.2726,0.2741,0.2548,0.2556,100246532.0
2021-12-17,0.2556,0.2624,0.2456,0.2539,115324929.0
2021-12-18,0.254,0.2661,0.2504,0.2553,98906265.0
2021-12-19,0.2551,0.2672,0.2513,0.2533,82104224.0
2021-12-20,0.2532,0.2738,0.2502,0.2574,214505461.0
2021-12-21,0.2574,0.2691,0.2524,0.2671,129545734.0
2021-12-22,0.2672,0.277,0.2666,0.2673,114001013.0
2021-12-23,0.2672,0.2896,0.2643,0.2874,121928680.0
2021-12-24,0.2875,0.2884,0.275,0.2779,86376474.0
2021-12-25,0.2779,0.2948,0.2751,0.289,84816884.0
2021-12-26,0.2889,0.2939,0.2848,0.2914,61948951.0
2021-12-27,0.2915,0.3059,0.2907,0.2984,74081076.0
2021-12-28,0.2984,0.299,0.2731,0.274,119482830.0
2021-12-29,0.274,0.2795,0.2643,0.2669,83469755.0
2021-12-30,0.2667,0.2754,0.2606,0.2681,81759830.0
2021-12-31,0.268,0.2768,0.2588,0.2665,74278600.0
2022-01-01,0.2665,0.2771,0.266,0.2765,55085186.0
2022-01-02,0.2767,0.2923,0.2755,0.2921,70471416.0
2022-01-03,0.292,0.2976,0.2854,0.2902,101089932.0
2022-01-04,0.2904,0.2913,0.2784,0.2791,79908609.0
2022-01-05,0.2793,0.295,0.2543,0.2661,128664074.0
2022-01-06,0.2662,0.2724,0.258,0.2676,100323451.0
2022-01-07,0.2675,0.2684,0.251,0.2569,108784242.0
2022-01-08,0.2571,0.2646,0.2466,0.255,85233125.0
2022-01-09,0.2551,0.264,0.2529,0.2609,59541431.0
2022-01-10,0.261,0.2641,0.2349,0.2529,112088262.0
2022-01-11,0.2528,0.2636,0.248,0.263,68869759.0
2022-01-12,0.263,0.2917,0.2628,0.2822,150003817.0
2022-01-13,0.2823,0.2901,0.2685,0.2693,100679548.0
2022-01-14,0.2692,0.2863,0.2614,0.2644,154090982.0
2022-01-15,0.2644,0.2697,0.2559,0.2588,131814740.0
2022-01-16,0.259,0.2625,0.2543,0.2589,63917652.0
2022-01-17,0.2588,0.2598,0.2497,0.2559,67572565.0
2022-01-18,0.256,0.2576,0.2487,0.2541,80656534.0
